date,open,high,low,close,volume
2025-12-01,317.7,319.85,313.89,314.89,41182956
2025-12-02,316.74,318.38,313.91,315.81,35854744
2025-12-03,315.89,321.58,314.1,319.63,41838317
2025-12-04,322.225,322.36,314.7,317.62,31240924
2025-12-05,319.49,323.16,319.165,321.27,28851705
2025-12-08,320.05,320.44,311.2219,313.72,33403895
2025-12-09,312.37,317.99,311.895,317.08,30089731
2025-12-10,315.83,321.31,314.68,320.21,33428923
2025-12-11,320.08,321.12,308.6,312.43,42353697
2025-12-12,313.7,314.87,305.56,309.29,35940170
2025-12-15,311.315,311.42,304.88,308.22,29151889
2025-12-16,304.945,310.77,302.59,306.57,30585020
2025-12-17,308.01,308.09,296.12,296.72,43930358
2025-12-18,301.72,303.96,299.2308,302.46,33518048
2025-12-19,301.73,307.25,300.97,307.16,59943239
2025-12-22,309.875,310.13,305.3,309.78,26429937
2025-12-23,309.625,314.94,309.32,314.35,25478670
2025-12-24,314.77,315.08,311.92,314.09,10097361
2025-12-26,314.48,315.085,312.275,313.51,10899017
2025-12-29,311.365,314.02,310.62,313.56,19621777
2025-12-30,312.5,316.95,312.46,313.85,17380888
2025-12-31,312.845,314.58,311.44,313.0,16377689
2026-01-02,316.9,322.5,310.33,315.15,32009385
2026-01-05,317.655,319.015,314.63,316.54,30195597
2026-01-06,316.4,320.94,311.78,314.34,31212101
2026-01-07,314.36,326.15,314.19,321.98,35104425
2026-01-08,328.965,330.3196,321.5,325.44,31896101
2026-01-09,327.09,330.83,325.8,328.57,26214166
2026-01-12,325.8,334.04,325.0,331.86,33923928
2026-01-13,334.95,340.49,333.62,335.97,33517607
2026-01-14,335.06,336.52,330.48,335.84,28525571
2026-01-15,337.65,337.69,330.74,332.78,28442406
2026-01-16,334.41,334.65,327.7,330.0,40341637
2026-01-20,320.87,327.73,320.43,322.0,34808916
2026-01-21,320.92,332.4799,319.3518,328.38,35386603
2026-01-22,334.45,335.15,328.75,330.54,26253640
2026-01-23,332.485,333.6889,327.45,327.93,27279974
2026-01-26,327.805,335.84,327.0,333.26,26042120
2026-01-27,335.365,337.91,333.48,334.55,19722250
2026-01-28,336.06,337.535,331.94,336.01,27434434
2026-01-29,340.3,342.29,326.54,338.25,39785612
2026-01-30,340.0,340.0,332.285,338.0,31023954
2026-02-02,336.22,344.83,335.63,343.69,32006052
2026-02-03,347.34,349.0,337.4745,339.71,35930599
2026-02-04,342.96,343.31,328.52,333.04,70618398
2026-02-05,312.22,332.69,306.46,331.25,88205849
2026-02-06,327.18,330.38,319.92,322.86,56380484
2026-02-09,320.93,327.7,317.26,324.32,39640055
2026-02-10,320.97,321.67,314.61,318.58,39170012
2026-02-11,318.97,321.06,309.66,310.96,45406405
2026-02-12,312.09,316.24,307.2,309.0,47761288
2026-02-13,307.725,308.63,303.71,305.72,38499701
2026-02-17,300.04,304.435,296.25,302.02,39247556
2026-02-18,302.09,305.38,301.25,303.33,28482075
2026-02-19,301.82,305.47,300.04,302.85,25834395
2026-02-20,304.32,316.5,303.9,314.98,53210820
2026-02-23,319.045,319.515,309.865,311.49,31422974
2026-02-24,310.515,312.27,305.93,310.9,25615646
2026-02-25,312.06,313.64,309.44,312.9,29963621
2026-02-26,312.64,313.14,302.345,307.38,36431231
2026-02-27,304.135,312.37,303.8,311.76,44640640
2026-03-02,303.225,308.49,301.3,306.52,34790203
2026-03-03,298.59,303.94,296.71,303.58,35496961
2026-03-04,302.89,305.47,300.75,303.13,29536190
2026-03-05,303.035,303.3,297.99,300.88,35752321
2026-03-06,296.09,300.53,295.18,298.52,25576916
2026-03-09,294.36,306.8,294.08,306.36,29312149
2026-03-10,306.17,309.51,305.5704,307.04,23239684
2026-03-11,306.75,311.42,305.92,308.7,24125714
2026-03-12,306.82,308.94,301.03,303.55,24928347
2026-03-13,307.01,307.69,300.44,302.28,23693092
2026-03-16,304.35,306.4886,303.0201,305.56,23519709
2026-03-17,305.86,311.42,305.5,310.92,21955171
2026-03-18,309.27,312.47,306.932,307.69,20009815
2026-03-19,304.005,308.06,302.35,307.13,25075831
2026-03-20,305.46,306.0,298.27,301.0,44364079
2026-03-23,302.11,305.98,300.93,302.06,29326946
2026-03-24,299.2,299.92,290.33,290.44,36864278
2026-03-25,293.44,296.0,289.24,290.93,29460669
2026-03-26,287.91,287.95,278.5,280.92,39080578
2026-03-27,277.275,279.37,273.95,274.34,35890612
2026-03-30,276.42,277.09,272.11,273.5,35141244
2026-03-31,278.04,288.08,277.09,287.56,43875400
2026-04-01,290.835,300.52,290.41,297.39,37684462
2026-04-02,290.69,298.08,289.45,295.77,21666465
2026-04-06,295.87,300.62,295.18,299.99,16945494
2026-04-07,302.725,305.63,297.72,305.46,23205361
2026-04-08,320.445,322.08,315.02,317.32,33547140
2026-04-09,315.905,319.54,311.06,318.49,23739173
2026-04-10,320.015,321.83,316.32,317.24,19152630
2026-04-13,317.135,321.63,315.47,321.31,18866424
2026-04-14,324.785,333.29,323.75,332.91,27721351
2026-04-15,332.89,337.48,330.9,337.12,24918842
2026-04-16,338.75,339.88,334.52,336.02,20541487
2026-04-17,337.65,342.32,336.24,341.68,25581881
2026-04-20,340.755,341.4,336.61,337.42,18784226
2026-04-21,337.685,339.34,331.35,332.29,23123795
2026-04-22,337.02,339.82,335.17,339.32,20293014
2026-04-23,341.18,341.96,336.18,338.89,18650256
2026-04-24,338.725,345.27,335.39,344.4,26426061
2026-04-27,345.98,353.18,342.73,350.34,28326815
