date,open,high,low,close,volume
2025-12-01,213.875,220.98,213.5,219.76,30768722
2025-12-02,221.79,225.98,214.39,215.24,42002462
2025-12-03,216.26,218.2,211.7686,217.6,28545180
2025-12-04,216.875,219.12,214.14,215.98,24478204
2025-12-05,217.165,223.642,216.24,217.97,33292396
2025-12-08,219.085,223.71,218.36,221.11,29776116
2025-12-09,221.04,224.84,217.907,221.62,25083206
2025-12-10,222.0,222.605,218.67,221.42,23279366
2025-12-11,217.81,221.4989,210.1901,221.43,30694649
2025-12-12,218.37,222.49,209.06,210.78,37073910
2025-12-15,212.28,215.36,206.58,207.58,27222196
2025-12-16,206.92,210.22,205.11,209.17,23467569
2025-12-17,210.035,211.5,197.53,198.11,31595409
2025-12-18,203.815,206.36,200.5001,201.06,29720136
2025-12-19,204.6,215.18,204.2001,213.43,58445450
2025-12-22,220.0,220.17,213.31,214.95,24950728
2025-12-23,212.855,217.03,212.28,214.9,20272288
2025-12-24,214.98,216.54,213.97,215.04,7956797
2025-12-26,215.43,216.83,213.03,214.99,15792558
2025-12-29,211.575,216.047,209.24,215.61,20326855
2025-12-30,215.865,216.82,214.33,215.34,16409566
2025-12-31,215.815,217.64,213.8,214.16,17591581
2026-01-02,218.9,227.15,218.895,223.47,36446169
2026-01-05,230.245,234.02,220.48,221.08,31941147
2026-01-06,222.71,222.92,211.25,214.35,40033208
2026-01-07,212.125,212.125,207.17,210.02,29715483
2026-01-08,210.9,210.94,203.33,204.68,27505031
2026-01-09,205.72,207.3,203.07,203.17,24217339
2026-01-12,201.18,209.88,199.8,207.69,27287274
2026-01-13,215.1,223.11,214.975,220.97,56894937
2026-01-14,217.54,224.09,215.11,223.6,40466520
2026-01-15,227.9,238.35,227.22,227.92,55270210
2026-01-16,234.3,234.49,228.86,231.83,42545614
2026-01-20,226.08,239.5,225.4105,231.92,43701591
2026-01-21,235.99,252.9,235.78,249.8,62385578
2026-01-22,251.75,256.08,246.63,253.73,37945005
2026-01-23,261.18,266.96,256.25,259.68,47525928
2026-01-26,256.745,258.2899,250.3,251.31,30672461
2026-01-27,252.16,255.55,247.96,252.03,25414573
2026-01-28,254.125,257.4,250.21,252.74,27061187
2026-01-29,254.655,260.5298,240.91,252.18,31685168
2026-01-30,236.93,245.24,234.55,236.73,40035670
2026-02-02,235.77,249.97,235.0,246.27,36308106
2026-02-03,251.55,252.65,237.0376,242.11,45851806
2026-02-04,215.0,218.58,199.1501,200.19,107173293
2026-02-05,201.855,204.04,190.72,192.5,62196419
2026-02-06,197.13,209.27,196.43,208.44,54504470
2026-02-09,206.895,217.6,204.15,216.0,38810841
2026-02-10,215.14,219.39,213.13,213.57,25326694
2026-02-11,217.88,219.65,209.21,213.58,33384744
2026-02-12,215.83,218.46,205.14,205.94,32180957
2026-02-13,204.02,210.05,203.8801,207.32,26123882
2026-02-17,202.145,205.3,194.83,203.08,33712081
2026-02-18,198.405,203.2,195.0001,200.12,35664087
2026-02-19,200.11,204.1,198.2939,203.37,25842274
2026-02-20,200.115,204.87,198.56,200.15,36317256
2026-02-23,198.09,199.38,194.15,196.6,28187909
2026-02-24,211.63,216.71,206.5,213.84,81367020
2026-02-25,214.82,216.7,210.33,210.86,44588059
2026-02-26,208.8,209.79,201.46,203.68,35020472
2026-02-27,200.105,201.89,197.74,200.21,31312396
2026-03-02,193.845,198.74,190.0,198.62,34120155
2026-03-03,191.46,193.64,188.22,190.95,37785697
2026-03-04,192.12,202.44,189.86,202.07,40912561
2026-03-05,197.77,203.79,194.88,199.45,36000660
2026-03-06,195.27,200.24,191.2501,192.43,33913779
2026-03-09,189.36,202.97,189.02,202.68,38877220
2026-03-10,202.51,206.59,202.2,203.23,29139162
2026-03-11,205.11,209.21,203.63,204.83,23076366
2026-03-12,202.825,203.62,196.67,197.74,28886913
2026-03-13,198.11,199.68,192.27,193.39,27561888
2026-03-16,194.975,200.17,194.8,196.58,30285170
2026-03-17,196.68,199.21,195.26,196.31,22779675
2026-03-18,196.0,202.86,195.75,199.46,28569135
2026-03-19,195.032,205.88,192.83,205.27,32245329
2026-03-20,204.885,206.3,198.26,201.33,37265103
2026-03-23,206.395,209.109,201.71,202.68,31857752
2026-03-24,201.39,206.43,200.13,205.37,27258849
2026-03-25,211.505,221.33,211.505,220.27,48518269
2026-03-26,217.979,221.0,203.43,203.77,49212976
2026-03-27,201.77,203.2699,197.69,201.99,29206578
2026-03-30,204.95,208.43,192.865,196.04,41053298
2026-03-31,198.05,204.0,196.41,203.43,42318748
2026-04-01,207.585,213.83,205.84,210.21,40835794
2026-04-02,204.05,217.78,200.62,217.5,38463484
2026-04-06,219.28,226.31,217.73,220.18,30786420
2026-04-07,218.255,222.0984,215.375,221.53,26483009
2026-04-08,232.12,234.0,227.09,231.82,35496362
2026-04-09,233.014,237.1,230.9101,236.64,27126209
2026-04-10,239.0,249.58,238.96,245.04,36477243
2026-04-13,245.025,247.33,242.03,246.83,22781787
2026-04-14,249.79,255.46,245.7,255.07,25733227
2026-04-15,254.96,258.18,251.85,258.12,24695184
2026-04-16,264.99,279.34,261.51,278.26,64850772
2026-04-17,281.0,281.05,274.14,278.39,35519852
2026-04-20,280.6,287.61,272.0,274.95,34833859
2026-04-21,277.33,286.2,276.62,284.49,38950875
2026-04-22,291.215,304.25,286.14,303.46,49054237
2026-04-23,302.01,310.22,299.76,305.33,45619726
2026-04-24,336.755,352.99,334.54,347.81,81616660
2026-04-27,346.32,349.21,328.81,334.63,50250608
