date,open,high,low,close,volume
2025-12-01,106.51,109.335,106.31,109.13,24873385
2025-12-02,109.205,109.73,107.52,109.35,25762983
2025-12-03,106.59,106.87,102.03,103.96,53593403
2025-12-04,103.57,103.8,101.77,103.22,51779136
2025-12-05,98.775,104.79,97.74,100.24,133363601
2025-12-08,99.87,99.89,95.3,96.79,99591582
2025-12-09,97.03,97.24,95.45,96.71,51498294
2025-12-10,96.735,96.97,92.35,92.71,74129272
2025-12-11,93.895,94.82,92.76,94.09,43949009
2025-12-12,95.5,96.92,94.65,95.19,49323122
2025-12-15,96.015,96.37,93.53,93.77,40016455
2025-12-16,93.88,94.93,93.32,94.57,34264989
2025-12-17,95.98,97.33,94.46,94.79,50472781
2025-12-18,95.02,95.81,93.59,94.0,37244734
2025-12-19,93.57,95.54,93.45,94.39,78990153
2025-12-22,94.71,94.71,92.91,93.23,39484765
2025-12-23,93.395,93.81,91.33,93.5,25896234
2025-12-24,93.11,93.68,92.665,93.64,12427895
2025-12-26,93.48,94.685,93.27,94.47,22068276
2025-12-29,93.99,94.97,93.625,94.15,24493738
2025-12-30,93.52,93.9899,93.34,93.78,23422033
2025-12-31,93.6,94.305,93.2,93.76,23495191
2026-01-02,94.13,94.13,90.8104,90.99,41155402
2026-01-05,90.92,92.63,90.84,91.46,39183316
2026-01-06,91.54,91.64,89.74,90.65,43330972
2026-01-07,91.555,92.419,90.06,90.73,36525740
2026-01-08,90.45,91.25,89.58,90.53,40068670
2026-01-09,90.03,90.05,88.32,89.46,55579523
2026-01-12,89.69,90.335,89.33,89.41,36290606
2026-01-13,89.44,91.15,89.07,90.32,45221097
2026-01-14,91.24,91.58,87.95,88.55,49737704
2026-01-15,89.02,89.89,87.82,88.05,36945057
2026-01-16,88.335,88.51,87.78,88.0,48130497
2026-01-20,88.97,89.9,87.02,87.26,100813841
2026-01-21,82.515,86.0,81.93,85.36,127940744
2026-01-22,85.02,85.1,82.98,83.54,69113304
2026-01-23,83.43,86.3,83.28,86.12,64520383
2026-01-26,86.92,86.94,85.35,85.7,40941875
2026-01-27,85.275,85.6,83.88,85.58,37509148
2026-01-28,85.625,86.47,84.295,84.64,37762612
2026-01-29,84.31,84.38,82.3501,83.16,42278102
2026-01-30,83.1,84.055,82.78,83.49,45755030
2026-02-02,83.53,85.27,82.72,82.76,41445253
2026-02-03,82.23,82.45,79.62,79.94,49323672
2026-02-04,79.99,81.435,79.225,80.16,48963242
2026-02-05,81.49,83.3,80.535,80.87,54805693
2026-02-06,81.02,82.485,80.65,82.2,46154060
2026-02-09,82.18,82.205,79.87,81.47,42200212
2026-02-10,82.715,84.66,82.09,82.21,43595792
2026-02-11,81.96,82.48,79.45,79.62,40840269
2026-02-12,79.11,79.15,75.23,75.86,73516074
2026-02-13,76.14,77.18,75.53,76.87,42292078
2026-02-17,76.92,77.87,75.3,77.0,35961512
2026-02-18,77.32,78.32,76.28,77.99,29883106
2026-02-19,77.75,78.7,76.59,77.0,30139202
2026-02-20,76.61,78.85,76.4,78.67,32411317
2026-02-23,77.79,77.83,75.01,76.02,38363022
2026-02-24,75.73,78.12,75.21,78.04,33079056
2026-02-25,79.43,83.117,79.25,82.7,69319330
2026-02-26,83.2,86.5,82.8,84.59,85642486
2026-02-27,94.295,96.75,90.58,96.24,200766960
2026-03-02,95.26,98.07,95.2,97.09,79915361
2026-03-03,96.01,98.46,95.33,97.7,59149000
2026-03-04,97.105,99.75,96.99,98.66,52604273
2026-03-05,98.5,100.19,98.1,99.17,53403048
2026-03-06,99.33,99.88,97.4,99.02,41196294
2026-03-09,97.7,98.94,96.58,98.32,48589009
2026-03-10,97.805,98.49,96.29,96.94,41027158
2026-03-11,97.41,98.0,94.685,94.89,33962858
2026-03-12,94.86,95.4,93.87,94.31,34206855
2026-03-13,94.64,95.68,94.24,95.31,29876659
2026-03-16,95.58,96.1,94.36,95.2,34931831
2026-03-17,95.3,96.34,94.01,94.36,26434496
2026-03-18,94.445,95.335,93.61,94.7,27878318
2026-03-19,94.31,95.75,90.775,91.74,40169250
2026-03-20,91.31,91.88,90.69,91.82,61678012
2026-03-23,92.04,93.98,91.86,93.38,34315874
2026-03-24,92.79,93.7398,90.815,90.92,28938033
2026-03-25,91.71,92.52,91.235,92.28,29545625
2026-03-26,91.52,95.86,91.01,93.32,59522026
2026-03-27,94.57,95.5799,92.74,93.43,44590673
2026-03-30,92.75,94.49,92.22,92.97,32375138
2026-03-31,93.03,96.26,93.03,96.15,54269957
2026-04-01,96.47,97.2,94.264,95.55,30439305
2026-04-02,95.27,98.71,95.17,98.66,37068024
2026-04-06,100.96,102.685,97.97,98.93,37029334
2026-04-07,98.55,99.875,98.25,98.82,25016718
2026-04-08,100.32,100.4,97.44,99.39,30957619
2026-04-09,99.63,102.34,99.08,102.05,35087760
2026-04-10,102.47,103.08,101.46,103.01,25769905
2026-04-13,103.032,103.665,102.06,103.16,26042804
2026-04-14,103.12,106.57,103.04,106.28,40534865
2026-04-15,105.98,107.85,105.04,107.71,38023679
2026-04-16,107.47,108.945,106.6201,107.79,64928250
2026-04-17,96.37,98.74,95.1,97.31,125958732
2026-04-20,97.14,97.6,93.54,94.83,63298264
2026-04-21,94.0,94.65,92.37,92.58,61962275
2026-04-22,93.06,93.85,92.77,93.24,33694345
2026-04-23,94.06,94.64,92.073,92.82,36851674
2026-04-24,92.57,93.28,91.8,92.44,32553177
2026-04-27,92.05,92.84,91.3,91.37,29363248
